Cohort Year,School,Conference,Sport,State,GSR,FGR
2010,Abilene Christian University,Southland Conference,Football,TX,57,44
2010,Alabama A&M University,Southwestern Athletic Conf.,Football,AL,65,47
2010,Alabama State University,Southwestern Athletic Conf.,Football,AL,43,30
2010,Alcorn State University,Southwestern Athletic Conf.,Football,MS,57,37
2010,Appalachian State University,Sun Belt Conference,Football,NC,74,70
2010,Arizona State University,Pac-12 Conference,Football,AZ,76,68
2010,Arkansas State University,Sun Belt Conference,Football,AR,76,65
2010,Auburn University,Southeastern Conference,Football,AL,70,60
2010,Austin Peay State University,Ohio Valley Conference,Football,TN,71,65
2010,Ball State University,Mid-American Conference,Football,IN,71,60
2010,Baylor University,Big 12 Conference,Football,TX,82,63
2010,Bethune-Cookman University,Mid-Eastern Athletic Conf.,Football,FL,55,49
2010,Boise State University,Mountain West Conference,Football,ID,86,81
2010,Boston College,Atlantic Coast Conference,Football,MA,90,76
2010,Bowling Green State University,Mid-American Conference,Football,OH,82,63
2010,Brigham Young University,Independent,Football,UT,52,44
2010,Brown University,The Ivy League,Football,RI,98,
2010,Bryant University,Northeast Conference,Football,RI,92,74
2010,Bucknell University,Patriot League,Football,PA,89,84
2010,Butler University,Pioneer Football League,Football,IN,81,
2010,California Polytechnic State University,Big Sky Conference,Football,CA,68,70
2010,"California State University, Fresno",Mountain West Conference,Football,CA,68,65
2010,"California State University, Sacramento",Big Sky Conference,Football,CA,69,47
2010,Campbell University,Pioneer Football League,Football,NC,76,
2010,Central Connecticut State University,Northeast Conference,Football,CT,64,46
2010,Central Michigan University,Mid-American Conference,Football,MI,72,51
2010,Charleston Southern University,Big South Conference,Football,SC,56,38
2010,Clemson University,Atlantic Coast Conference,Football,SC,85,75
2010,Coastal Carolina University,Sun Belt Conference,Football,SC,78,67
2010,Colgate University,Patriot League,Football,NY,91,77
2010,College of the Holy Cross,Patriot League,Football,MA,94,82
2010,College of William & Mary,Colonial Athletic Association,Football,VA,83,80
2010,Colorado State University,Mountain West Conference,Football,CO,70,57
2010,Columbia University-Barnard College,The Ivy League,Football,NY,98,
2010,Cornell University,The Ivy League,Football,NY,96,
2010,Dartmouth College,The Ivy League,Football,NH,100,
2010,Davidson College,Pioneer Football League,Football,NC,95,
2010,Delaware State University,Mid-Eastern Athletic Conf.,Football,DE,71,59
2010,Drake University,Pioneer Football League,Football,IA,82,
2010,Duke University,Atlantic Coast Conference,Football,NC,96,87
2010,Duquesne University,Northeast Conference,Football,PA,80,72
2010,East Carolina University,American Athletic Conference,Football,NC,68,63
2010,Eastern Illinois University,Ohio Valley Conference,Football,IL,71,60
2010,Eastern Kentucky University,Ohio Valley Conference,Football,KY,75,55
2010,Eastern Michigan University,Mid-American Conference,Football,MI,67,47
2010,Eastern Washington University,Big Sky Conference,Football,WA,71,61
2010,Elon University,Colonial Athletic Association,Football,NC,92,81
2010,Florida A&M University,Mid-Eastern Athletic Conf.,Football,FL,49,38
2010,Florida Atlantic University,Conference USA,Football,FL,75,65
2010,Florida International University,Conference USA,Football,FL,68,58
2010,Florida State University,Atlantic Coast Conference,Football,FL,74,61
2010,Fordham University,Patriot League,Football,NY,90,82
2010,Furman University,Southern Conference,Football,SC,77,70
2010,Gardner-Webb University,Big South Conference,Football,NC,71,57
2010,Georgetown University,Patriot League,Football,DC,89,79
2010,Georgia Institute of Technology,Atlantic Coast Conference,Football,GA,82,70
2010,Georgia Southern University,Sun Belt Conference,Football,GA,63,57
2010,Georgia State University,Sun Belt Conference,Football,GA,33,
2010,Grambling State University,Southwestern Athletic Conf.,Football,LA,63,60
2010,Hampton University,Mid-Eastern Athletic Conf.,Football,VA,67,61
2010,Harvard University,The Ivy League,Football,MA,100,
2010,Howard University,Mid-Eastern Athletic Conf.,Football,DC,69,63
2010,Idaho State University,Big Sky Conference,Football,ID,72,44
2010,Illinois State University,Missouri Valley Football Conference,Football,IL,74,48
2010,Indiana State University,Missouri Valley Football Conference,Football,IN,69,52
2010,"Indiana University, Bloomington",Big Ten Conference,Football,IN,84,69
2010,Iowa State University,Big 12 Conference,Football,IA,77,55
2010,Jackson State University,Southwestern Athletic Conf.,Football,MS,59,40
2010,Jacksonville State University,Ohio Valley Conference,Football,AL,60,52
2010,Jacksonville University,Pioneer Football League,Football,FL,64,
2010,James Madison University,Colonial Athletic Association,Football,VA,81,78
2010,Kansas State University,Big 12 Conference,Football,KS,77,63
2010,Kent State University,Mid-American Conference,Football,OH,77,69
2010,Lafayette College,Patriot League,Football,PA,95,75
2010,Lamar University,Southland Conference,Football,TX,74,62
2010,Lehigh University,Patriot League,Football,PA,84,78
2010,Liberty University,Big South Conference,Football,VA,75,69
2010,Louisiana State University,Southeastern Conference,Football,LA,78,44
2010,Louisiana Tech University,Conference USA,Football,LA,67,58
2010,Marist College,Pioneer Football League,Football,NY,79,100
2010,Marshall University,Conference USA,Football,WV,73,48
2010,McNeese State University,Southland Conference,Football,LA,73,75
2010,Miami University (Ohio),Mid-American Conference,Football,OH,85,73
2010,Michigan State University,Big Ten Conference,Football,MI,72,56
2010,Middle Tennessee State University,Conference USA,Football,TN,85,73
2010,Mississippi State University,Southeastern Conference,Football,MS,84,68
2010,Mississippi Valley State University,Southwestern Athletic Conf.,Football,MS,74,38
