RK,SCHOOL,CONF,TOTAL REVENUE,TOTAL EXPENSES,TOTAL ALLOCATED,% ALLOCATED
1,Texas,Big 12,"$214,830,647 ","$207,022,323 ",$0 ,0
2,Texas A&M,SEC,"$211,960,034 ","$146,546,229 ",$0 ,0
3,Ohio State,Big Ten,"$185,409,602 ","$173,507,435 ",$0 ,0
4,Michigan,Big Ten,"$185,173,187 ","$175,425,392 ","$280,647 ",0.15
5,Alabama,SEC,"$174,307,419 ","$158,646,962 ","$2,938,948 ",1.69
6,Georgia,SEC,"$157,852,479 ","$119,218,908 ","$3,273,422 ",2.07
7,Oklahoma,Big 12,"$155,238,481 ","$132,910,780 ",$0 ,0
8,Florida,SEC,"$149,165,475 ","$131,789,499 ","$1,567,806 ",1.05
9,LSU,SEC,"$147,744,233 ","$131,717,421 ",$0 ,0
10,Auburn,SEC,"$147,511,034 ","$132,885,979 ","$3,633,521 ",2.46
11,Tennessee,SEC,"$145,653,191 ","$134,880,229 ",$0 ,0
12,Oregon,Pac-12,"$145,417,315 ","$119,945,650 ","$271,222 ",0.19
13,Florida State,ACC,"$144,514,413 ","$143,373,261 ","$7,446,443 ",5.15
14,Penn State,Big Ten,"$144,017,055 ","$138,724,055 ",$0 ,0
15,Wisconsin,Big Ten,"$143,420,668 ","$142,930,591 ","$2,843,000 ",1.98
16,South Carolina,SEC,"$136,032,845 ","$129,317,382 ",$0 ,0
17,Kentucky,SEC,"$130,706,744 ","$125,333,866 ",$0 ,0
18,Iowa,Big Ten,"$130,681,467 ","$128,869,211 ","$650,000 ",0.5
19,Arkansas,SEC,"$129,680,808 ","$112,902,474 ",$0 ,0
20,Washington,Pac-12,"$128,745,183 ","$123,503,513 ","$3,742,614 ",2.91
21,Michigan State,Big Ten,"$126,021,377 ","$117,506,272 ","$901,057 ",0.72
22,Louisville,ACC,"$120,445,303 ","$118,383,769 ","$5,383,718 ",4.47
23,Nebraska,Big Ten,"$120,205,090 ","$112,571,632 ",$0 ,0
24,Mississippi,SEC,"$117,834,511 ","$108,885,512 ","$2,784,879 ",2.36
25,Minnesota,Big Ten,"$116,376,862 ","$114,201,678 ","$14,817,134 ",12.73
26,Clemson,ACC,"$112,600,964 ","$111,126,235 ","$5,472,888 ",4.86
27,West Virginia,Big 12,"$110,565,870 ","$89,196,193 ","$4,167,480 ",3.77
28,Indiana,Big Ten,"$106,139,192 ","$106,131,819 ","$2,569,044 ",2.42
29,UCLA,Pac-12,"$104,106,646 ","$104,106,646 ","$2,708,118 ",2.6
30,Arizona State,Pac-12,"$101,579,860 ","$98,825,395 ","$18,866,371 ",18.57
31,Mississippi State,SEC,"$100,062,237 ","$86,351,432 ",$0 ,0
32,Missouri,SEC,"$97,848,195 ","$102,409,131 ","$1,015,000 ",1.04
33,Illinois,Big Ten,"$97,447,731 ","$100,739,817 ","$3,281,700 ",3.37
34,Rutgers,Big Ten,"$96,883,027 ","$99,193,280 ","$33,087,478 ",34.15
35,North Carolina,ACC,"$96,551,626 ","$96,540,823 ","$8,785,137 ",9.1
36,Kansas,Big 12,"$95,251,461 ","$94,709,233 ","$1,920,908 ",2.02
37,Maryland,Big Ten,"$94,881,357 ","$94,796,897 ","$14,473,659 ",15.25
38,Colorado,Pac-12,"$94,226,111 ","$90,640,627 ","$12,577,570 ",13.35
39,Virginia,ACC,"$92,865,175 ","$100,324,517 ","$13,942,471 ",15.01
40,Oklahoma State,Big 12,"$91,644,865 ","$89,833,094 ","$3,673,085 ",4.01
41,Arizona,Pac-12,"$90,976,758 ","$91,756,963 ","$10,069,281 ",11.07
42,California,Pac-12,"$90,976,576 ","$106,959,739 ",$0 ,0
43,Texas Tech,Big 12,"$88,804,476 ","$86,984,083 ","$5,799,878 ",6.53
44,Virginia Tech,ACC,"$87,427,526 ","$90,716,423 ","$8,888,537 ",10.17
45,Kansas State,Big 12,"$86,081,528 ","$73,970,354 ","$450,000 ",0.52
46,Purdue,Big Ten,"$84,841,133 ","$85,709,495 ",$0 ,0
47,North Carolina State,ACC,"$83,741,572 ","$86,924,779 ","$6,551,791 ",7.82
48,Utah,Pac-12,"$83,672,639 ","$81,620,307 ","$12,421,715 ",14.85
49,Connecticut,AAC,"$83,374,223 ","$83,121,820 ","$42,227,612 ",50.65
50,Iowa State,Big 12,"$82,659,447 ","$82,565,176 ","$2,133,219 ",2.58
51,Georgia Tech,ACC,"$81,762,024 ","$84,852,123 ","$7,651,426 ",9.36
52,Oregon State,Pac-12,"$78,959,875 ","$82,730,626 ","$7,126,768 ",9.03
53,Washington State,Pac-12,"$64,294,520 ","$71,801,820 ","$5,263,059 ",8.19
54,Cincinnati,AAC,"$60,458,195 ","$62,804,292 ","$26,745,506 ",44.24
55,Air Force,Mt. West,"$59,577,780 ","$50,112,617 ","$33,339,247 ",55.96
56,Houston,AAC,"$57,174,900 ","$55,277,308 ","$25,703,451 ",44.96
57,Central Florida,AAC,"$56,327,225 ","$56,327,225 ","$27,661,927 ",49.11
58,San Diego State,Mt. West,"$52,454,787 ","$51,569,852 ","$24,322,966 ",46.37
59,South Florida,AAC,"$49,960,338 ","$48,227,500 ","$21,503,730 ",43.04
60,Memphis,AAC,"$48,716,830 ","$48,443,158 ","$18,257,221 ",37.48
61,East Carolina,AAC,"$48,312,311 ","$48,387,287 ","$19,739,500 ",40.86
62,James Madison,CAA,"$48,210,400 ","$48,210,400 ","$39,119,920 ",81.14
63,Massachusetts,A-10,"$48,054,005 ","$47,535,791 ","$37,249,930 ",77.52
64,Hawaii,Big West,"$47,780,885 ","$48,984,980 ","$20,486,904 ",42.88
65,Nevada-Las Vegas,Mt. West,"$47,327,478 ","$47,476,606 ","$21,622,440 ",45.69
66,Fresno State,Mt. West,"$46,215,249 ","$44,119,522 ","$20,634,658 ",44.65
67,Old Dominion,C-USA,"$46,203,813 ","$46,181,753 ","$28,681,512 ",62.08
68,Boise State,Mt. West,"$45,486,486 ","$45,456,789 ","$12,615,561 ",27.73
69,Colorado State,Mt. West,"$44,672,317 ","$43,965,622 ","$23,265,238 ",52.08
70,New Mexico,Mt. West,"$44,421,019 ","$44,356,217 ","$11,694,978 ",26.33
71,Delaware,CAA,"$40,883,947 ","$40,883,947 ","$33,063,193 ",80.87
72,Wyoming,Mt. West,"$40,372,222 ","$38,669,544 ","$18,452,045 ",45.7
73,Arkansas State,Sun Belt,"$39,459,027 ","$39,459,027 ","$12,624,293 ",31.99
74,Western Michigan,MAC,"$38,516,531 ","$38,271,134 ","$24,349,702 ",63.22
75,Texas State,Sun Belt,"$38,445,832 ","$35,915,260 ","$27,787,153 ",72.28
76,Charlotte,C-USA,"$37,931,802 ","$33,246,728 ","$25,709,896 ",67.78
77,Miami (Ohio),MAC,"$37,766,348 ","$36,097,843 ","$24,693,963 ",65.39
78,Nevada,Mt. West,"$36,955,558 ","$38,982,774 ","$12,477,955 ",33.76
79,California-Davis,Big West,"$35,954,033 ","$34,625,583 ","$27,442,876 ",76.33
80,Buffalo,MAC,"$35,892,221 ","$35,883,884 ","$25,628,422 ",71.4
81,Akron,MAC,"$35,331,217 ","$33,895,809 ","$24,641,163 ",69.74
82,Appalachian State,Sun Belt,"$35,058,621 ","$35,065,566 ","$21,257,458 ",60.63
83,Central Michigan,MAC,"$34,692,784 ","$31,792,125 ","$25,077,606 ",72.28
84,Florida Atlantic,C-USA,"$34,509,259 ","$34,102,683 ","$23,953,161 ",69.41
85,Utah State,Mt. West,"$34,398,296 ","$34,213,406 ","$18,911,117 ",54.98
86,Virginia Commonwealth,A-10,"$34,297,744 ","$33,595,855 ","$20,609,275 ",60.09
87,Middle Tennessee,C-USA,"$34,040,334 ","$34,040,334 ","$22,376,798 ",65.74
88,Coastal Carolina,Sun Belt,"$33,703,994 ","$33,704,483 ","$28,251,293 ",83.82
89,Florida International,C-USA,"$33,389,929 ","$33,003,699 ","$24,028,758 ",71.96
90,Toledo,MAC,"$32,925,921 ","$32,925,921 ","$21,073,807 ",64
91,Stony Brook,Am East,"$32,458,520 ","$31,339,766 ","$26,799,950 ",82.57
92,Eastern Michigan,MAC,"$32,311,247 ","$32,311,246 ","$23,109,498 ",71.52
93,Ohio,MAC,"$32,234,688 ","$32,621,410 ","$20,090,007 ",62.32
94,North Texas,C-USA,"$32,150,203 ","$36,363,381 ","$21,398,461 ",66.56
95,Texas-El Paso,C-USA,"$31,781,343 ","$32,039,189 ","$18,486,004 ",58.17
96,New Hampshire,Am East,"$31,621,272 ","$31,243,908 ","$21,800,013 ",68.94
97,California Polytechnic,Big West,"$31,435,074 ","$27,908,939 ","$21,762,270 ",69.23
98,San Jose State,Mt. West,"$31,252,553 ","$30,676,330 ","$21,011,051 ",67.23
99,South Alabama,Sun Belt,"$30,693,877 ","$27,949,252 ","$20,664,956 ",67.33
100,Western Kentucky,C-USA,"$30,439,066 ","$30,439,067 ","$16,853,917 ",55.37
101,Georgia State,Sun Belt,"$30,230,203 ","$29,859,420 ","$22,423,489 ",74.18
102,Troy,Sun Belt,"$29,962,107 ","$29,962,107 ","$21,711,635 ",72.46
103,George Mason,A-10,"$29,649,087 ","$29,649,087 ","$22,269,485 ",75.11
104,Marshall,C-USA,"$29,287,471 ","$30,342,248 ","$14,345,674 ",48.98
105,Georgia Southern,Sun Belt,"$28,895,052 ","$28,761,605 ","$16,747,677 ",57.96
106,Kent State,MAC,"$28,837,710 ","$29,504,048 ","$18,657,839 ",64.7
107,Texas-San Antonio,C-USA,"$28,772,631 ","$30,104,385 ","$17,385,928 ",60.43
108,William & Mary,CAA,"$28,401,480 ","$27,539,636 ","$15,658,354 ",55.13
109,Louisiana-Lafayette,Sun Belt,"$28,326,919 ","$27,408,419 ","$12,800,374 ",45.19
110,Sacramento State,Big Sky,"$28,275,369 ","$25,866,367 ","$22,764,632 ",80.51
111,Rhode Island,A-10,"$28,203,093 ","$28,048,377 ","$21,282,741 ",75.46
112,North Dakota,Big Sky,"$28,201,349 ","$26,727,343 ","$13,107,939 ",46.48
113,Illinois State,Mo. Valley,"$27,852,407 ","$25,144,172 ","$19,096,462 ",68.56
114,Wichita State,Mo. Valley,"$27,791,259 ","$26,182,954 ","$7,879,317 ",28.35
115,North Dakota State,Summit,"$27,267,507 ","$28,124,505 ","$7,880,233 ",28.9
116,Montana,Big Sky,"$27,192,240 ","$21,206,839 ","$7,452,313 ",27.41
117,Towson,CAA,"$26,989,399 ","$26,972,945 ","$23,576,513 ",87.35
118,Missouri State,Mo. Valley,"$26,374,654 ","$26,374,654 ","$16,521,641 ",62.64
119,New Mexico State,WAC,"$26,114,479 ","$23,507,513 ","$16,833,783 ",64.46
120,Ball State,MAC,"$26,098,565 ","$27,410,745 ","$19,402,097 ",74.34
121,Northern Illinois,MAC,"$25,795,597 ","$25,661,395 ","$16,816,199 ",65.19
122,Kennesaw State,Atl Sun,"$25,326,240 ","$24,193,201 ","$19,449,114 ",76.79
123,Bowling Green,MAC,"$25,303,291 ","$23,753,571 ","$15,882,246 ",62.77
124,Alabama at Birmingham,C-USA,"$24,795,218 ","$23,803,547 ","$15,480,428 ",62.43
125,Louisiana Tech,C-USA,"$24,722,695 ","$23,828,481 ","$10,687,030 ",43.23
126,Southern Mississippi,C-USA,"$23,984,639 ","$25,251,618 ","$8,832,604 ",36.83
127,Idaho,Big Sky,"$23,825,002 ","$22,817,285 ","$13,339,039 ",55.99
